date,open,high,low,close,volume
2025-11-22 22:55:00,2748.18,2748.62,2746.52,2747.5,420.6501
2025-11-22 23:00:00,2747.5,2748.5,2743.01,2743.37,198.2245
2025-11-22 23:05:00,2743.36,2744.76,2741.85,2744.76,215.7048
2025-11-22 23:10:00,2744.77,2757.64,2744.77,2757.38,1251.0083
2025-11-22 23:15:00,2757.38,2768.25,2756.13,2762.54,2454.1756
2025-11-22 23:20:00,2762.53,2766.76,2760.89,2765.94,536.5217
2025-11-22 23:25:00,2765.93,2765.93,2756.64,2759.38,778.9885
2025-11-22 23:30:00,2759.37,2762.39,2757.47,2762.19,431.4403
2025-11-22 23:35:00,2762.2,2767.39,2761.63,2766.36,1841.4906
2025-11-22 23:40:00,2766.36,2768.49,2765.32,2768.48,482.1491
2025-11-22 23:45:00,2768.48,2770.29,2765.01,2765.87,1026.4023
2025-11-22 23:50:00,2765.86,2799.01,2765.86,2795.55,6934.3512
2025-11-22 23:55:00,2795.54,2798.5,2787.49,2789.27,2745.1469
2025-11-23 00:00:00,2789.26,2793.45,2782.15,2790.24,1733.2844
2025-11-23 00:05:00,2790.27,2790.6,2776.59,2780.69,1341.4458
2025-11-23 00:10:00,2780.69,2784.07,2778.42,2783.31,850.3033
2025-11-23 00:15:00,2783.31,2783.95,2769.62,2770.45,1072.4935
2025-11-23 00:20:00,2770.45,2775.98,2767.62,2775.5,754.983
2025-11-23 00:25:00,2775.49,2779.5,2775.13,2778.3,1101.8764
2025-11-23 00:30:00,2778.3,2781.23,2772.99,2779.37,805.931
2025-11-23 00:35:00,2779.37,2780.31,2776.41,2779.75,467.5742
2025-11-23 00:40:00,2779.75,2780.5,2768.69,2771.93,1012.333
2025-11-23 00:45:00,2771.92,2773.99,2769.4,2771.79,555.8124
2025-11-23 00:50:00,2771.78,2773.76,2768.74,2769.46,443.4131
2025-11-23 00:55:00,2769.47,2771.26,2767.62,2770.12,467.8784
2025-11-23 01:00:00,2770.12,2775.19,2768.29,2773.66,653.4348
2025-11-23 01:05:00,2773.66,2777.09,2772.23,2776.86,643.1943
2025-11-23 01:10:00,2776.87,2781.0,2775.49,2779.09,1078.0183
2025-11-23 01:15:00,2779.13,2786.81,2776.83,2783.12,966.998
2025-11-23 01:20:00,2783.11,2787.5,2778.86,2787.49,1473.4096
2025-11-23 01:25:00,2787.5,2789.41,2780.6,2780.61,1131.2603
2025-11-23 01:30:00,2780.6,2781.28,2773.75,2777.49,897.7732
2025-11-23 01:35:00,2777.5,2778.3,2772.55,2773.83,2063.5385
2025-11-23 01:40:00,2773.83,2775.32,2770.61,2774.87,645.4147
2025-11-23 01:45:00,2774.86,2775.72,2768.32,2771.22,526.2708
2025-11-23 01:50:00,2771.23,2776.85,2770.72,2772.91,454.9308
2025-11-23 01:55:00,2772.9,2772.99,2768.99,2772.99,315.8289
2025-11-23 02:00:00,2773.0,2780.43,2771.93,2780.0,754.6853
2025-11-23 02:05:00,2779.99,2783.05,2778.49,2783.05,483.7122
2025-11-23 02:10:00,2783.05,2784.84,2780.83,2783.62,654.3867
2025-11-23 02:15:00,2783.63,2792.61,2780.53,2785.49,4820.738
2025-11-23 02:20:00,2785.48,2790.26,2780.53,2783.0,1531.092
2025-11-23 02:25:00,2782.99,2788.5,2781.61,2787.59,873.9034
2025-11-23 02:30:00,2787.59,2791.72,2785.18,2789.07,1290.9
2025-11-23 02:35:00,2789.08,2802.25,2788.4,2800.91,3627.9201
2025-11-23 02:40:00,2800.9,2805.7,2798.8,2803.23,2154.8144
2025-11-23 02:45:00,2803.23,2806.21,2799.24,2802.02,1122.8572
2025-11-23 02:50:00,2802.01,2815.73,2801.0,2808.0,3777.4004
2025-11-23 02:55:00,2807.99,2812.97,2804.0,2808.44,2377.7274
2025-11-23 03:00:00,2808.45,2816.67,2804.37,2815.84,2817.3759
2025-11-23 03:05:00,2815.84,2819.27,2805.88,2806.98,2683.5658
2025-11-23 03:10:00,2806.98,2811.1,2805.7,2810.65,630.6674
2025-11-23 03:15:00,2810.65,2814.97,2809.24,2811.56,1232.3988
2025-11-23 03:20:00,2811.57,2817.37,2807.49,2816.9,972.1764
2025-11-23 03:25:00,2816.89,2825.21,2816.18,2818.59,2337.7694
2025-11-23 03:30:00,2818.58,2826.47,2817.9,2822.86,2076.2093
2025-11-23 03:35:00,2822.86,2828.6,2818.91,2828.4,1674.5867
2025-11-23 03:40:00,2828.4,2834.33,2825.75,2828.08,4023.6526
2025-11-23 03:45:00,2828.07,2832.18,2823.56,2831.71,2159.1006
2025-11-23 03:50:00,2831.71,2832.01,2820.18,2822.03,1918.3918
2025-11-23 03:55:00,2822.03,2824.0,2819.88,2821.12,1070.8038
2025-11-23 04:00:00,2821.12,2821.13,2810.53,2811.39,1530.4835
2025-11-23 04:05:00,2811.38,2820.0,2809.73,2820.0,1122.4832
2025-11-23 04:10:00,2820.0,2822.86,2812.09,2813.7,1303.1941
2025-11-23 04:15:00,2813.7,2817.87,2811.22,2817.49,714.9531
2025-11-23 04:20:00,2817.49,2817.49,2810.17,2811.47,644.802
2025-11-23 04:25:00,2811.46,2814.69,2810.47,2813.89,578.2372
2025-11-23 04:30:00,2813.88,2819.74,2811.59,2819.46,924.2802
2025-11-23 04:35:00,2819.46,2822.2,2815.25,2818.2,771.7594
2025-11-23 04:40:00,2818.19,2819.49,2816.38,2819.1,314.4962
2025-11-23 04:45:00,2819.1,2822.19,2816.89,2819.34,633.3966
2025-11-23 04:50:00,2819.33,2821.66,2817.34,2820.34,578.6806
2025-11-23 04:55:00,2820.33,2824.95,2819.98,2824.77,848.4033
2025-11-23 05:00:00,2824.77,2828.92,2823.07,2823.66,1034.579
2025-11-23 05:05:00,2823.65,2832.55,2819.76,2830.41,1064.4437
2025-11-23 05:10:00,2830.42,2835.03,2828.57,2834.16,2059.4279
2025-11-23 05:15:00,2834.16,2844.62,2831.89,2843.59,1976.6473
2025-11-23 05:20:00,2843.6,2852.17,2836.75,2837.45,5371.1
2025-11-23 05:25:00,2837.46,2841.95,2828.29,2828.73,4441.9684
2025-11-23 05:30:00,2828.76,2831.5,2826.58,2831.5,1434.2843
2025-11-23 05:35:00,2831.5,2831.94,2824.0,2828.32,1790.2758
2025-11-23 05:40:00,2828.32,2828.57,2821.77,2822.25,1598.6609
2025-11-23 05:45:00,2822.25,2833.07,2820.85,2828.58,2613.341
2025-11-23 05:50:00,2828.58,2835.08,2826.74,2827.52,1923.8657
2025-11-23 05:55:00,2827.52,2829.28,2825.51,2827.76,802.1802
2025-11-23 06:00:00,2827.77,2829.29,2826.02,2827.21,540.5347
2025-11-23 06:05:00,2827.21,2830.0,2824.28,2826.5,699.0023
2025-11-23 06:10:00,2826.5,2831.25,2823.99,2830.31,2401.4488
2025-11-23 06:15:00,2830.31,2831.39,2825.99,2827.59,2445.6151
2025-11-23 06:20:00,2827.59,2828.44,2824.01,2825.16,989.0687
2025-11-23 06:25:00,2825.15,2825.42,2824.0,2824.35,790.9871
2025-11-23 06:30:00,2824.35,2824.35,2821.49,2822.25,4504.2845
2025-11-23 06:35:00,2822.24,2823.11,2813.1,2817.45,4570.3065
2025-11-23 06:40:00,2817.46,2820.42,2816.5,2817.47,1073.986
2025-11-23 06:45:00,2817.46,2826.41,2817.46,2825.82,1842.8448
2025-11-23 06:50:00,2825.83,2827.47,2820.99,2824.0,511.0685
2025-11-23 06:55:00,2823.99,2825.7,2822.4,2825.35,423.8697
2025-11-23 07:00:00,2825.35,2829.29,2823.19,2828.0,733.9469
2025-11-23 07:05:00,2828.0,2832.47,2827.01,2827.15,876.3175
2025-11-23 07:10:00,2827.15,2827.18,2825.0,2825.27,563.5386
2025-11-23 07:15:00,2825.28,2826.67,2825.0,2825.51,2272.0143
2025-11-23 07:20:00,2825.5,2827.83,2820.0,2820.53,2918.6634
2025-11-23 07:25:00,2820.53,2822.36,2820.0,2820.83,1408.2141
2025-11-23 07:30:00,2820.83,2821.28,2814.42,2814.63,2953.6038
2025-11-23 07:35:00,2814.64,2814.96,2806.0,2810.27,1709.5739
2025-11-23 07:40:00,2810.28,2812.42,2808.67,2811.7,1065.821
2025-11-23 07:45:00,2811.71,2815.09,2810.63,2810.78,674.1368
2025-11-23 07:50:00,2810.85,2811.26,2808.0,2809.99,1151.3343
2025-11-23 07:55:00,2810.0,2812.59,2808.33,2810.33,994.6175
2025-11-23 08:00:00,2810.34,2812.34,2800.0,2800.35,4170.3083
2025-11-23 08:05:00,2800.35,2800.36,2794.0,2798.22,3985.9938
2025-11-23 08:10:00,2798.22,2805.92,2798.22,2804.13,1074.6536
2025-11-23 08:15:00,2804.12,2804.56,2784.98,2790.77,7317.4104
2025-11-23 08:20:00,2790.77,2795.73,2788.82,2795.07,1162.2021
2025-11-23 08:25:00,2795.07,2795.49,2777.2,2782.18,7336.9479
2025-11-23 08:30:00,2782.18,2786.5,2780.15,2785.98,1644.2883
2025-11-23 08:35:00,2785.98,2789.78,2784.1,2788.22,1485.0149
2025-11-23 08:40:00,2788.22,2793.47,2788.22,2792.17,1451.0416
2025-11-23 08:45:00,2792.17,2794.0,2790.32,2793.47,903.8027
2025-11-23 08:50:00,2793.47,2794.83,2791.03,2791.47,610.6716
2025-11-23 08:55:00,2791.46,2794.3,2788.68,2793.7,661.2522
2025-11-23 09:00:00,2793.7,2802.11,2793.69,2799.99,1326.9105
2025-11-23 09:05:00,2800.0,2803.35,2799.0,2802.23,678.0318
2025-11-23 09:10:00,2802.16,2806.57,2801.0,2802.59,1063.4077
2025-11-23 09:15:00,2802.58,2805.35,2799.06,2804.26,723.7607
2025-11-23 09:20:00,2804.26,2808.41,2803.92,2805.95,586.8264
2025-11-23 09:25:00,2805.96,2808.89,2805.45,2807.14,547.7765
2025-11-23 09:30:00,2807.15,2810.45,2805.42,2810.44,477.0731
2025-11-23 09:35:00,2810.44,2810.44,2803.93,2806.5,533.0744
2025-11-23 09:40:00,2806.5,2807.44,2803.16,2803.63,417.5166
2025-11-23 09:45:00,2803.64,2815.73,2803.64,2814.2,1263.5332
2025-11-23 09:50:00,2814.2,2814.2,2808.54,2809.07,653.8139
2025-11-23 09:55:00,2809.08,2814.47,2809.08,2811.53,898.2687
2025-11-23 10:00:00,2811.53,2812.05,2809.47,2810.39,183.7357
2025-11-23 10:05:00,2810.38,2811.16,2807.24,2808.4,592.2002
2025-11-23 10:10:00,2808.39,2812.0,2808.16,2810.93,288.6684
2025-11-23 10:15:00,2810.92,2815.0,2807.97,2812.3,765.0931
2025-11-23 10:20:00,2812.29,2815.77,2808.81,2809.29,730.6108
2025-11-23 10:25:00,2809.3,2810.94,2807.35,2809.55,284.8881
2025-11-23 10:30:00,2809.56,2812.46,2807.97,2808.45,500.5033
2025-11-23 10:35:00,2808.45,2814.09,2806.09,2811.46,3415.1405
2025-11-23 10:40:00,2811.46,2823.98,2810.8,2820.38,1610.2458
2025-11-23 10:45:00,2820.39,2820.69,2816.99,2816.99,500.0578
2025-11-23 10:50:00,2816.99,2817.9,2814.18,2817.52,315.8463
2025-11-23 10:55:00,2817.52,2818.0,2815.12,2816.45,310.8438
2025-11-23 11:00:00,2816.45,2816.87,2810.8,2812.19,632.1228
2025-11-23 11:05:00,2812.19,2812.72,2807.55,2809.79,1267.0292
2025-11-23 11:10:00,2809.78,2809.79,2803.44,2808.31,893.4685
2025-11-23 11:15:00,2808.3,2808.49,2802.88,2805.19,756.1927
