date,open,high,low,close,volume
2025-11-21 22:25:00,84749.88,85000.01,84736.79,84963.57,141.25616
2025-11-21 22:30:00,84963.57,85094.66,84941.74,84994.59,103.71771
2025-11-21 22:35:00,84994.6,85293.1,84994.6,85279.34,186.83094
2025-11-21 22:40:00,85279.34,85398.3,85240.0,85260.26,83.95039
2025-11-21 22:45:00,85261.0,85341.97,85152.43,85292.06,74.86776
2025-11-21 22:50:00,85292.06,85416.66,85225.34,85243.35,86.77264
2025-11-21 22:55:00,85243.35,85288.46,85140.08,85182.14,53.75582
2025-11-21 23:00:00,85182.14,85404.24,85156.59,85326.31,50.05703
2025-11-21 23:05:00,85326.3,85328.89,85174.44,85295.96,55.96866
2025-11-21 23:10:00,85295.95,85295.96,85082.47,85165.57,73.74365
2025-11-21 23:15:00,85165.58,85206.57,85106.46,85131.27,69.92067
2025-11-21 23:20:00,85131.26,85131.26,84770.47,84784.73,119.89158
2025-11-21 23:25:00,84784.73,85016.55,84736.14,84828.99,83.89423
2025-11-21 23:30:00,84828.99,84828.99,84422.92,84445.94,93.992
2025-11-21 23:35:00,84445.95,84679.07,84343.88,84500.82,62.56594
2025-11-21 23:40:00,84500.82,84668.1,84416.16,84668.1,41.60078
2025-11-21 23:45:00,84668.09,84960.01,84454.37,84582.3,107.79228
2025-11-21 23:50:00,84582.29,84671.58,84313.92,84447.22,75.21072
2025-11-21 23:55:00,84447.22,84531.21,84267.25,84284.42,52.9373
2025-11-22 00:00:00,84284.43,84373.71,84146.63,84305.78,140.37566
2025-11-22 00:05:00,84305.78,84364.51,84121.38,84267.25,85.43369
2025-11-22 00:10:00,84267.26,84450.0,84209.74,84446.1,49.35092
2025-11-22 00:15:00,84446.1,84699.62,84443.14,84690.81,155.51433
2025-11-22 00:20:00,84690.81,84905.92,84676.74,84804.11,157.31805
2025-11-22 00:25:00,84804.1,85041.98,84752.68,85032.63,75.72425
2025-11-22 00:30:00,85032.63,85105.16,84960.0,85084.24,53.46195
2025-11-22 00:35:00,85084.24,85084.24,84871.51,85001.3,95.947
2025-11-22 00:40:00,85001.3,85263.53,85001.29,85252.93,68.24698
2025-11-22 00:45:00,85252.93,85353.03,85131.93,85178.55,55.16777
2025-11-22 00:50:00,85178.54,85200.0,85031.83,85115.82,41.54673
2025-11-22 00:55:00,85115.83,85171.03,85050.0,85129.43,20.96316
2025-11-22 01:00:00,85129.42,85333.74,85101.09,85314.34,57.07502
2025-11-22 01:05:00,85314.34,85507.93,85172.64,85389.47,97.70015
2025-11-22 01:10:00,85389.47,85620.0,85309.98,85515.71,79.83081
2025-11-22 01:15:00,85515.71,85515.72,85170.53,85229.69,63.52815
2025-11-22 01:20:00,85229.7,85293.72,85175.36,85192.04,64.72102
2025-11-22 01:25:00,85192.05,85199.8,84854.88,84895.97,153.30593
2025-11-22 01:30:00,84895.98,85186.62,84895.97,85092.57,67.07709
2025-11-22 01:35:00,85092.57,85275.41,85021.54,85173.68,41.26791
2025-11-22 01:40:00,85173.68,85173.69,84980.0,85064.43,50.10006
2025-11-22 01:45:00,85064.43,85080.0,84730.77,84815.16,136.05415
2025-11-22 01:50:00,84815.17,84888.2,84571.13,84639.48,120.90899
2025-11-22 01:55:00,84639.47,84813.55,84631.39,84739.93,51.33058
2025-11-22 02:00:00,84739.92,84905.99,84588.75,84892.21,68.82353
2025-11-22 02:05:00,84892.22,84897.83,84620.0,84624.9,60.48107
2025-11-22 02:10:00,84624.9,84768.48,84608.95,84739.55,54.20144
2025-11-22 02:15:00,84739.55,84929.77,84660.97,84908.72,54.88018
2025-11-22 02:20:00,84908.72,84908.72,84786.56,84870.16,38.36306
2025-11-22 02:25:00,84870.17,84936.15,84812.18,84887.03,36.3745
2025-11-22 02:30:00,84887.02,85199.87,84874.3,85066.28,109.02773
2025-11-22 02:35:00,85066.28,85205.87,84981.77,85043.47,78.29202
2025-11-22 02:40:00,85043.47,85051.34,84885.37,84900.01,59.0066
2025-11-22 02:45:00,84900.01,85146.11,84900.0,85049.17,70.15291
2025-11-22 02:50:00,85049.18,85159.58,85030.66,85139.52,30.63545
2025-11-22 02:55:00,85139.53,85174.28,85020.4,85174.28,47.96221
2025-11-22 03:00:00,85174.28,85205.87,85044.69,85070.33,46.6773
2025-11-22 03:05:00,85070.33,85072.11,84800.0,84923.69,77.61897
2025-11-22 03:10:00,84923.69,84923.69,84668.14,84723.99,108.6373
2025-11-22 03:15:00,84723.99,84807.51,84617.13,84691.39,47.76903
2025-11-22 03:20:00,84691.39,84718.92,84586.61,84609.71,37.60405
2025-11-22 03:25:00,84609.71,84750.0,84599.99,84693.08,29.44874
2025-11-22 03:30:00,84693.08,84711.77,84352.4,84414.38,69.83978
2025-11-22 03:35:00,84414.39,84473.35,84300.0,84365.1,59.69565
2025-11-22 03:40:00,84365.09,84444.0,84294.19,84346.0,37.25247
2025-11-22 03:45:00,84345.99,84446.1,84285.71,84336.1,41.07867
2025-11-22 03:50:00,84336.11,84515.98,84332.04,84462.01,30.27431
2025-11-22 03:55:00,84462.01,84538.87,84444.92,84528.99,37.22808
2025-11-22 04:00:00,84529.0,84535.37,84374.21,84415.32,38.53451
2025-11-22 04:05:00,84415.32,84611.35,84313.78,84542.66,67.22053
2025-11-22 04:10:00,84542.65,84600.0,84469.18,84597.98,33.31073
2025-11-22 04:15:00,84597.99,84597.99,84480.17,84513.46,45.32529
2025-11-22 04:20:00,84513.47,84535.53,84267.25,84356.55,38.0332
2025-11-22 04:25:00,84356.56,84446.1,84270.0,84424.4,47.95158
2025-11-22 04:30:00,84424.4,84498.65,84400.0,84432.9,42.83344
2025-11-22 04:35:00,84432.9,84432.9,84226.0,84351.22,54.44224
2025-11-22 04:40:00,84351.23,84400.0,84335.99,84375.58,22.63148
2025-11-22 04:45:00,84375.59,84394.66,84231.05,84252.24,127.33458
2025-11-22 04:50:00,84252.24,84387.99,84212.39,84387.99,70.16066
2025-11-22 04:55:00,84387.99,84493.66,84385.62,84440.47,21.21242
2025-11-22 05:00:00,84440.48,84548.3,84220.1,84338.13,42.19312
2025-11-22 05:05:00,84338.12,84364.01,84233.28,84265.65,45.57201
2025-11-22 05:10:00,84265.65,84279.67,84062.11,84115.21,78.70724
2025-11-22 05:15:00,84115.21,84139.51,83947.89,83968.0,151.42066
2025-11-22 05:20:00,83968.01,84208.69,83903.99,83975.14,68.15918
2025-11-22 05:25:00,83975.14,84250.84,83975.14,84000.72,68.77275
2025-11-22 05:30:00,84000.72,84127.83,84000.72,84037.32,55.60651
2025-11-22 05:35:00,84037.32,84037.32,83832.91,83928.0,71.76483
2025-11-22 05:40:00,83928.0,83984.0,83878.0,83975.76,40.9293
2025-11-22 05:45:00,83975.77,84056.72,83886.0,84037.32,47.45363
2025-11-22 05:50:00,84037.32,84241.71,83990.18,84197.62,36.47169
2025-11-22 05:55:00,84197.62,84320.0,84160.79,84246.88,49.9847
2025-11-22 06:00:00,84246.89,84313.62,84153.07,84192.01,65.94557
2025-11-22 06:05:00,84192.01,84278.21,84134.0,84244.6,31.11796
2025-11-22 06:10:00,84244.96,84282.0,84146.26,84160.8,24.82179
2025-11-22 06:15:00,84160.8,84160.81,83982.33,84054.34,89.92714
2025-11-22 06:20:00,84054.34,84110.91,83915.17,83961.03,44.34557
2025-11-22 06:25:00,83961.02,84100.0,83961.02,84083.31,43.45254
2025-11-22 06:30:00,84083.32,84086.0,83892.05,83985.67,50.54071
2025-11-22 06:35:00,83985.66,84098.0,83880.1,83938.01,48.89246
2025-11-22 06:40:00,83938.01,83962.0,83868.53,83936.98,36.39897
2025-11-22 06:45:00,83936.98,84176.05,83936.98,84096.93,86.63654
2025-11-22 06:50:00,84096.92,84241.71,84050.0,84241.71,44.68848
2025-11-22 06:55:00,84241.71,84316.08,84241.7,84280.92,43.18206
2025-11-22 07:00:00,84280.92,84349.99,84202.62,84271.6,37.65965
2025-11-22 07:05:00,84271.59,84275.64,84080.0,84099.85,26.98508
2025-11-22 07:10:00,84099.84,84279.02,84092.4,84278.7,33.45132
2025-11-22 07:15:00,84279.02,84373.71,84227.57,84319.1,32.7415
2025-11-22 07:20:00,84319.1,84559.3,84289.93,84460.05,94.81174
2025-11-22 07:25:00,84460.04,84557.22,84449.99,84506.0,27.12427
2025-11-22 07:30:00,84505.99,84791.02,84505.99,84783.88,73.6344
2025-11-22 07:35:00,84783.89,84799.54,84590.1,84654.01,46.69424
2025-11-22 07:40:00,84654.01,84690.71,84587.54,84636.1,38.34856
2025-11-22 07:45:00,84636.09,84700.0,84526.68,84526.69,32.22252
2025-11-22 07:50:00,84526.7,84699.18,84517.93,84681.55,50.73748
2025-11-22 07:55:00,84681.55,84735.87,84607.27,84636.0,20.3457
2025-11-22 08:00:00,84636.0,84672.01,84542.0,84552.26,28.31869
2025-11-22 08:05:00,84552.27,84621.19,84498.09,84534.0,20.74297
2025-11-22 08:10:00,84534.0,84548.3,84426.0,84480.16,43.70956
2025-11-22 08:15:00,84480.17,84520.0,84400.0,84466.0,17.77186
