date,close,high,low,open,volume
2026-01-02 15:30:00,273.19000244140625,273.3900146484375,272.0,272.0,1701630
2026-01-02 15:35:00,273.989990234375,274.42999267578125,272.9200134277344,273.1600036621094,613743
2026-01-02 15:40:00,275.54998779296875,275.54998779296875,273.9580078125,274.0199890136719,765889
2026-01-02 15:45:00,277.4184875488281,277.4984130859375,275.52899169921875,275.57000732421875,954179
2026-01-02 15:50:00,277.07501220703125,277.8247985839844,276.875,277.42498779296875,753600
2026-01-02 15:55:00,276.9549865722656,277.2799072265625,276.6189880371094,277.07861328125,431058
2026-01-02 16:00:00,277.17999267578125,277.75,276.8999938964844,276.9549865722656,583223
2026-01-02 16:05:00,276.29010009765625,277.2200012207031,276.2799987792969,277.1809997558594,370284
2026-01-02 16:10:00,275.510009765625,276.4599914550781,275.510009765625,276.32000732421875,341789
2026-01-02 16:15:00,274.9599914550781,275.510009765625,274.8599853515625,275.510009765625,325861
2026-01-02 16:20:00,273.739990234375,275.010009765625,273.7099914550781,275.010009765625,411831
2026-01-02 16:25:00,273.3900146484375,273.8800048828125,273.3700866699219,273.760009765625,343052
2026-01-02 16:30:00,273.1099853515625,273.3900146484375,272.91009521484375,273.3699951171875,412445
2026-01-02 16:35:00,272.56500244140625,273.17999267578125,272.3599853515625,273.1000061035156,289003
2026-01-02 16:40:00,272.75,272.989990234375,272.3800048828125,272.56500244140625,300974
2026-01-02 16:45:00,272.64801025390625,273.2900085449219,272.55999755859375,272.760009765625,312074
2026-01-02 16:50:00,271.96600341796875,272.7300109863281,271.70001220703125,272.6600036621094,456754
2026-01-02 16:55:00,270.6499938964844,272.2099914550781,270.6000061035156,271.97198486328125,479356
2026-01-02 17:00:00,270.42999267578125,270.6899108886719,270.1300048828125,270.6499938964844,470258
2026-01-02 17:05:00,270.6896057128906,270.7004089355469,270.0299987792969,270.4200134277344,299934
2026-01-02 17:10:00,270.625,270.7380065917969,269.8299865722656,270.67999267578125,355347
2026-01-02 17:15:00,270.239990234375,270.848388671875,270.1300048828125,270.625,262594
2026-01-02 17:20:00,270.5299987792969,270.6600036621094,270.010009765625,270.2300109863281,228520
