Price,adj_close,close,close,high,high,low,low,open,open,volume,volume
Ticker,APPLE,AAPL,APPLE,AAPL,APPLE,AAPL,APPLE,AAPL,APPLE,AAPL,APPLE
date,,,,,,,,,,,
2015-12-02 01:00:00,,26.217525482177734,,26.63013401452879,,26.172432386701793,,26.456521984544622,,133546400,
2015-12-03 01:00:00,,25.97402000427246,,26.332516496869523,,25.75306141655099,,26.27840443541406,,166278000,
2015-12-04 01:00:00,,26.837568283081055,,26.887171726276318,,25.953730430375632,,25.994314909336165,,231108000,
2015-12-07 01:00:00,,26.668466567993164,,27.024707914321493,,26.562495888498777,,26.82629586177749,,128336800,
2015-12-08 01:00:00,,26.657194137573242,,26.7406165463424,,26.348301063499722,,26.497109672774585,,137238000,
2015-12-09 01:00:00,,26.068723678588867,,26.53544439107156,,25.946970224872715,,26.524170254171413,,185445600,
2015-12-10 01:00:00,,26.192724227905273,,26.366336260966918,,26.043915634043792,,26.163413887345484,,116850800,
2015-12-11 01:00:00,,25.518573760986328,,26.016859893666684,,25.444168600672466,,25.971766795399066,,187544800,
2015-12-14 01:00:00,,25.36074447631836,,25.405837571526742,,24.75423254067508,,25.293103113314466,,257274800,
2015-12-15 01:00:00,,24.912063598632812,,25.432898038572702,,24.88049808350816,,25.23899460555466,,213292400,
2015-12-16 01:00:00,,25.103708267211914,,25.250263406565313,,24.531018734671886,,25.042832416811343,,224954000,
2015-12-17 01:00:00,,24.57160758972168,,25.30889031919613,,24.57160758972168,,25.257031702415023,,179091200,
2015-12-18 01:00:00,,23.90646743774414,,24.693353425186913,,23.856864004003178,,24.555818977347712,,385813200,
2015-12-21 01:00:00,,24.199573516845703,,24.208592477802853,,23.802747835685683,,24.18829938560154,,190362400,
2015-12-22 01:00:00,,24.177040100097656,,24.28751942146711,,24.00117284624248,,24.21536941483108,,131157600,
2015-12-23 01:00:00,,24.488176345825195,,24.542288397916,,24.17026438438559,,24.186047137920035,,130629600,
2015-12-24 01:00:00,,24.357410430908203,,24.576115587976815,,24.33937250203435,,24.576115587976815,,54281600,
2015-12-28 01:00:00,,24.084596633911133,,24.28075526789059,,23.940296622773996,,24.25820699349456,,106816800,
