date,open,high,low,close,volume
2025-11-22 22:55:00,126.58,126.67,126.51,126.64,1776.752
2025-11-22 23:00:00,126.64,126.71,126.32,126.36,2746.959
2025-11-22 23:05:00,126.36,126.48,126.2,126.38,3915.215
2025-11-22 23:10:00,126.38,127.05,126.36,127.0,7786.94
2025-11-22 23:15:00,127.0,127.36,126.94,127.1,7752.39
2025-11-22 23:20:00,127.1,127.4,127.03,127.37,3810.054
2025-11-22 23:25:00,127.38,127.39,127.06,127.14,3950.19
2025-11-22 23:30:00,127.13,127.33,127.04,127.31,2565.477
2025-11-22 23:35:00,127.31,127.58,127.23,127.39,7245.194
2025-11-22 23:40:00,127.38,127.39,127.21,127.37,3405.86
2025-11-22 23:45:00,127.37,127.78,127.34,127.62,8516.122
2025-11-22 23:50:00,127.62,128.92,127.57,128.6,35788.966
2025-11-22 23:55:00,128.6,128.69,128.23,128.25,15561.157
2025-11-23 00:00:00,128.24,128.47,128.03,128.35,20535.137
2025-11-23 00:05:00,128.34,128.34,127.73,127.89,11259.415
2025-11-23 00:10:00,127.89,127.95,127.7,127.95,3751.631
2025-11-23 00:15:00,127.95,128.0,127.41,127.52,6633.097
2025-11-23 00:20:00,127.51,127.56,127.3,127.51,3546.055
2025-11-23 00:25:00,127.5,127.77,127.48,127.7,4223.382
2025-11-23 00:30:00,127.7,127.99,127.53,127.92,6848.468
2025-11-23 00:35:00,127.91,128.06,127.77,128.04,8439.727
2025-11-23 00:40:00,128.04,128.13,127.51,127.66,6536.688
2025-11-23 00:45:00,127.66,127.8,127.6,127.65,3466.441
2025-11-23 00:50:00,127.65,127.82,127.59,127.63,2920.694
2025-11-23 00:55:00,127.62,127.67,127.5,127.59,3616.374
2025-11-23 01:00:00,127.6,128.0,127.56,127.88,3925.299
2025-11-23 01:05:00,127.88,128.01,127.72,128.01,3804.031
2025-11-23 01:10:00,128.01,128.17,127.95,128.15,6745.13
2025-11-23 01:15:00,128.14,128.39,127.99,128.22,10400.471
2025-11-23 01:20:00,128.22,128.58,128.02,128.58,10444.219
2025-11-23 01:25:00,128.58,128.65,128.34,128.34,9246.304
2025-11-23 01:30:00,128.34,128.4,128.02,128.23,5890.14
2025-11-23 01:35:00,128.23,128.27,128.0,128.11,4143.002
2025-11-23 01:40:00,128.11,128.14,127.94,128.09,5711.375
2025-11-23 01:45:00,128.09,128.15,127.62,127.86,6225.49
2025-11-23 01:50:00,127.86,128.24,127.83,128.02,2622.614
2025-11-23 01:55:00,128.02,128.03,127.75,128.03,4449.22
2025-11-23 02:00:00,128.04,128.31,127.88,128.31,4010.656
2025-11-23 02:05:00,128.31,128.48,128.21,128.47,4786.697
2025-11-23 02:10:00,128.46,128.57,128.34,128.5,10888.873
2025-11-23 02:15:00,128.49,129.05,128.35,128.7,28937.691
2025-11-23 02:20:00,128.7,128.82,128.39,128.54,12092.203
2025-11-23 02:25:00,128.53,128.82,128.44,128.77,4272.125
2025-11-23 02:30:00,128.78,129.06,128.67,128.93,34181.107
2025-11-23 02:35:00,128.92,129.37,128.85,129.34,22729.451
2025-11-23 02:40:00,129.34,129.53,129.17,129.49,15935.157
2025-11-23 02:45:00,129.48,129.56,129.25,129.37,22038.802
2025-11-23 02:50:00,129.36,129.86,129.25,129.41,19508.307
2025-11-23 02:55:00,129.42,129.71,129.2,129.46,19596.854
2025-11-23 03:00:00,129.46,129.8,129.11,129.75,14631.903
2025-11-23 03:05:00,129.74,130.0,129.44,129.44,14701.139
2025-11-23 03:10:00,129.44,129.54,129.28,129.51,8570.256
2025-11-23 03:15:00,129.51,129.8,129.39,129.63,7206.299
2025-11-23 03:20:00,129.63,129.91,129.4,129.86,7983.166
2025-11-23 03:25:00,129.87,130.2,129.8,129.92,14710.657
2025-11-23 03:30:00,129.92,130.53,129.88,130.49,16605.825
2025-11-23 03:35:00,130.48,130.64,130.14,130.59,14226.048
2025-11-23 03:40:00,130.59,130.62,130.41,130.49,10104.357
2025-11-23 03:45:00,130.48,130.8,130.3,130.71,13591.897
2025-11-23 03:50:00,130.7,130.71,130.12,130.17,9416.614
2025-11-23 03:55:00,130.17,130.22,130.01,130.05,6078.582
2025-11-23 04:00:00,130.04,130.22,129.85,129.88,10018.603
2025-11-23 04:05:00,129.88,130.27,129.76,130.25,8163.102
2025-11-23 04:10:00,130.25,130.41,129.79,129.83,9107.301
2025-11-23 04:15:00,129.83,129.94,129.6,129.93,8440.081
2025-11-23 04:20:00,129.92,129.93,129.38,129.53,6391.394
2025-11-23 04:25:00,129.53,129.6,129.42,129.54,4607.197
2025-11-23 04:30:00,129.53,129.86,129.45,129.82,4920.337
2025-11-23 04:35:00,129.82,130.03,129.59,129.66,7783.768
2025-11-23 04:40:00,129.65,129.86,129.52,129.84,6313.869
2025-11-23 04:45:00,129.84,129.89,129.58,129.69,6559.049
2025-11-23 04:50:00,129.68,129.81,129.5,129.75,3386.6
2025-11-23 04:55:00,129.75,129.96,129.71,129.96,4925.204
2025-11-23 05:00:00,129.95,130.22,129.95,130.2,7173.042
2025-11-23 05:05:00,130.2,130.51,129.99,130.49,16715.067
2025-11-23 05:10:00,130.49,130.95,130.38,130.81,21400.29
2025-11-23 05:15:00,130.8,131.42,130.69,131.34,15864.659
2025-11-23 05:20:00,131.35,131.9,131.2,131.21,31550.687
2025-11-23 05:25:00,131.21,131.4,130.81,130.87,13758.524
2025-11-23 05:30:00,130.88,131.33,130.78,131.22,8355.985
2025-11-23 05:35:00,131.23,131.26,130.85,130.96,9819.013
2025-11-23 05:40:00,130.97,130.97,130.59,130.71,6012.19
2025-11-23 05:45:00,130.71,131.05,130.7,130.95,7816.993
2025-11-23 05:50:00,130.94,131.0,130.71,130.75,8854.142
2025-11-23 05:55:00,130.75,130.88,130.62,130.74,6450.941
2025-11-23 06:00:00,130.74,130.79,130.48,130.63,6545.839
